node_id,x_coord,y_coord
92,-109.758395,34.288056
93,-109.758751,34.29003
94,-109.758783,34.289762
95,-109.751363,34.3437185
96,-109.716568,34.22968
97,-109.717307,34.232479
98,-109.725354,34.229092
99,-109.725896,34.229919
100,-109.708475,34.228373
101,-109.709524,34.229976
102,-109.711298,34.230346
103,-109.702493,34.237627
104,-109.7891862,34.25792
105,-109.7891788,34.2552455
106,-109.7884025,34.2805263
107,-109.7947665,34.2823196
108,-109.7966813,34.2799423
109,-109.7783835,34.2721629
110,-109.7808413,34.2721978
111,-109.726507,34.2575879
112,-109.7869867,34.3449499
113,-109.7799302,34.3449214
114,-109.779888,34.3431345
115,-109.7560958,34.3263204
116,-109.7347357,34.2719544
117,-109.728054,34.281014
118,-109.7546284,34.2900009
119,-109.7538519,34.2985566
120,-109.7898511,34.2784138
121,-109.7944775,34.2794611
122,-109.790177,34.276619
123,-109.7898939,34.2780878
124,-109.7815087,34.26676
125,-109.7791548,34.2649363
126,-109.7815773,34.2649743
127,-109.8143178,34.2475179
128,-109.7367516,34.3185682
129,-109.730974,34.224039
130,-109.7262055,34.228665
131,-109.7447727,34.3213233
132,-109.7383666,34.2708049
133,-109.7384,34.26902
134,-109.745087,34.293627
135,-109.747239,34.293649
136,-109.749419,34.293671
137,-109.74729,34.288381
138,-109.745109,34.287604
139,-109.7898922,34.2411349
140,-109.7154353,34.354362
141,-109.7279259,34.2864505
142,-109.7191906,34.2869184
143,-109.726372,34.288353
144,-109.736715,34.2773
145,-109.733983,34.277524
146,-109.735461,34.353431
147,-109.735407,34.355263
148,-109.73538,34.357096
149,-109.7321041,34.3571654
150,-109.733266,34.280957
151,-109.731883,34.28029
152,-109.729691,34.280996
153,-109.729943,34.280597
154,-109.7521615,34.3300735
155,-109.8308377,34.3450698
156,-109.73681,34.251763
157,-109.7321579,34.3553575
158,-109.7278437,34.3554177
159,-109.7278809,34.3536383
160,-109.7869428,34.3212915
161,-109.8035135,34.2525552
162,-109.7366831,34.3468371
163,-109.7457196,34.3416899
164,-109.8325256,34.3533606
165,-109.74264,34.351596
166,-109.7426293,34.351926
167,-109.744108,34.275373
168,-109.736742,34.275468
169,-109.7604655,34.3207933
170,-109.7605203,34.3210465
171,-109.7586309,34.351051
172,-109.7595338,34.3485969
173,-109.7536697,34.3447195
174,-109.7536589,34.3465266
175,-109.775242,34.228345
176,-109.7682546,34.2321362
177,-109.7646989,34.3186807
178,-109.7753624,34.3449418
179,-109.7782116,34.3431213
180,-109.778499,34.259039
181,-109.77847,34.258956
182,-109.7545778,34.2935988
183,-109.758823,34.294772
184,-109.7872729,34.2867241
185,-109.7440246,34.2714435
186,-109.7439875,34.2717573
187,-109.744079,34.273564
188,-109.744054,34.277206
189,-109.744055,34.279015
190,-109.744029,34.280847
191,-109.744002,34.28268
192,-109.744003,34.284512
193,-109.7439363,34.2862737
194,-109.7561856,34.3500627
195,-109.7957793,34.3324869
196,-109.7957231,34.3412145
197,-109.737674,34.3518954
198,-109.745008,34.300841
199,-109.747216,34.300863
200,-109.7506872,34.3009478
201,-109.736689,34.279087
202,-109.728136,34.279296
203,-109.797993,34.222075
204,-109.8310258,34.3341955
205,-109.8321716,34.3342051
206,-109.740956,34.3373844
207,-109.7424258,34.3386956
208,-109.7520067,34.3421682
209,-109.753778,34.3422236
210,-109.7578217,34.3424074
211,-109.7951809,34.2776107
212,-109.7790775,34.2762428
213,-109.7791113,34.2686015
214,-109.7753116,34.2685786
215,-109.7738496,34.2685599
216,-109.7367937,34.2706252
217,-109.7366446,34.2718838
218,-109.736741,34.273613
219,-109.73669,34.280919
220,-109.736663,34.282752
221,-109.736636,34.284584
222,-109.7365838,34.2863741
223,-109.7746197,34.2721282
224,-109.7777149,34.2760782
225,-109.7526778,34.2754964
226,-109.7793236,34.2774069
227,-109.7579791,34.3414987
228,-109.7412245,34.3412107
229,-109.7367326,34.3416506
230,-109.7392072,34.3358961
231,-109.7394629,34.3360978
232,-109.811192,34.29957
233,-109.7959358,34.2994854
234,-109.795829,34.297439
235,-109.7547189,34.2864977
236,-109.7449911,34.2863795
237,-109.8156515,34.2924377
238,-109.8213446,34.2914898
239,-109.8295695,34.290014
240,-109.7360328,34.3450157
241,-109.7521462,34.3310765
242,-109.7459234,34.3360201
243,-109.760606,34.355947
244,-109.7694445,34.3559593
245,-109.778077,34.3559851
246,-109.8350978,34.3568677
247,-109.7716186,34.2867628
248,-109.7780452,34.286763
249,-109.7426452,34.3332549
250,-109.7659983,34.3168613
251,-109.7735468,34.3093265
252,-109.780303,34.3057275
253,-109.8156217,34.2896652
254,-109.828806,34.287362
255,-109.8377565,34.2858123
256,-109.7365114,34.3380267
257,-109.8113274,34.2959576
258,-109.7606327,34.3441437
259,-109.76064,34.34493
260,-109.7606264,34.3468264
261,-109.7607338,34.3486764
262,-109.760663,34.354115
263,-109.7605695,34.3568409
264,-109.7451921,34.2618067
265,-109.752487,34.260543
266,-109.7749781,34.2602084
267,-109.8488981,34.2230066
268,-109.7909241,34.2579609
269,-109.7789402,34.258843
270,-109.741319,34.2575054
271,-109.7780257,34.275253
272,-109.777927,34.2793629
273,-109.7779927,34.2822016
274,-109.7739257,34.3083392
275,-109.815606,34.2955393
276,-109.769438,34.3504539
277,-109.7368526,34.3471112
278,-109.7424657,34.3504229
279,-109.7447509,34.352548
280,-109.7447708,34.3569102
281,-109.760869,34.288291
282,-109.760951,34.290055
283,-109.7609211,34.2918716
284,-109.761023,34.29779
285,-109.749121,34.3510253
286,-109.7490358,34.3570065
287,-109.769422,34.34498
288,-109.7694364,34.3468042
289,-109.7694186,34.3486392
290,-109.7694334,34.3522974
291,-109.769444,34.3541042
292,-109.728055,34.282823
293,-109.728055,34.284678
294,-109.7781053,34.3540704
295,-109.7506522,34.3445877
296,-109.7506119,34.3463848
297,-109.7443892,34.3347089
298,-109.7469374,34.3569316
299,-109.7469241,34.3510153
300,-109.7448422,34.348194
301,-109.7527792,34.3381818
302,-109.7428565,34.3334564
303,-109.7473396,34.3373756
304,-109.7496356,34.3380489
305,-109.7457055,34.3386343
306,-109.7563519,34.3383501
307,-109.754646,34.3382526
308,-109.7521247,34.3336192
309,-109.7538289,34.3415816
310,-109.74499,34.3443209
311,-109.7482838,34.344498
312,-109.7959293,34.2965226
313,-109.7615195,34.3486761
314,-109.7536669,34.3483721
315,-109.8221379,34.2948507
316,-109.7781093,34.352245
317,-109.7846267,34.3024306
318,-109.7805927,34.301978
319,-109.7797423,34.3050641
320,-109.78146,34.304116
321,-109.7859533,34.3018219
322,-109.75364,34.3501312
323,-109.7686093,34.3304668
324,-109.778208,34.330508
325,-109.72456,34.249721
326,-109.8306837,34.3524927
327,-109.7545847,34.2917896
328,-109.7755162,34.2269964
329,-109.7546545,34.2882252
330,-109.7555775,34.3534227
331,-109.7325846,34.2701807
332,-109.8386458,34.2856524
333,-109.8486928,34.2839112
334,-109.7036055,34.2574937
335,-109.7195566,34.2573206
336,-109.7233762,34.2576072
337,-109.724615,34.249664
338,-109.7573602,34.356928
339,-109.7719715,34.2851382
340,-109.8309881,34.3378478
341,-109.767414,34.222158
342,-109.7524566,34.2310659
343,-109.8035792,34.2907835
344,-109.7960699,34.2924827
345,-109.8305674,34.3123344
346,-109.750309,34.321337
347,-109.7481637,34.3190275
348,-109.7481735,34.3213529
349,-109.7524411,34.321357
350,-109.7514479,34.3243593
351,-109.8220587,34.3232261
352,-109.8308283,34.3232702
353,-109.7590985,34.3164389
354,-109.778202,34.346769
355,-109.8306002,34.3051076
356,-109.7367207,34.3381859
357,-109.778261,34.33692
358,-109.724529,34.240783
359,-109.796036,34.294199
360,-109.7938515,34.294176
361,-109.793815,34.2922712
362,-109.7524895,34.3163857
363,-109.7524895,34.3181579
364,-109.7524895,34.3199567
365,-109.7530551,34.3232282
366,-109.7592272,34.3181668
367,-109.7575857,34.3201783
368,-109.774597,34.2821701
369,-109.7441046,34.2535989
370,-109.7485131,34.2535668
371,-109.8307271,34.3570367
372,-109.8308133,34.2996961
373,-109.742465,34.257474
374,-109.7412413,34.2545684
375,-109.735101,34.253321
376,-109.8337551,34.2769023
377,-109.8337229,34.2739279
378,-109.7575243,34.3543474
379,-109.7448275,34.3509885
380,-109.922531,34.231755
381,-109.941005,34.258547
382,-109.867848,34.281785
383,-109.907612,34.301169
384,-109.9456226,34.3011075
385,-109.946368,34.301173
386,-109.917998,34.245432
387,-109.920893,34.27119
388,-109.889161,34.33079
389,-109.851431,34.281493
390,-109.8525723,34.2832347
391,-109.895027,34.23927
392,-109.885787,34.240915
393,-109.918143,34.27144
394,-109.918216,34.271647
395,-109.918617,34.271578
396,-109.860087,34.222342
397,-109.877378,34.237063
398,-109.9371651,34.3048702
399,-109.9370857,34.3066945
400,-109.9370835,34.3085135
401,-109.936812,34.312144
402,-109.941283,34.315899
403,-109.941729,34.31626
404,-109.916493,34.319219
405,-109.912843,34.321125
406,-109.918809,34.275697
407,-109.914231,34.314025
408,-109.893163,34.276107
409,-109.875661,34.247668
410,-109.9578192,34.3188382
411,-109.947473,34.258035
412,-109.941171,34.259807
413,-109.914728,34.315921
414,-109.914178,34.315923
415,-109.918103,34.24616
416,-109.928332,34.222489
417,-109.8932415,34.3536603
418,-109.8928216,34.3452394
419,-109.897468,34.330712
420,-109.935239,34.268671
421,-109.940883,34.289539
422,-109.899686,34.244789
423,-109.908854,34.345414
424,-109.908161,34.330582
425,-109.878649,34.316138
426,-109.940398,34.257563
427,-109.944702,34.267022
428,-109.9571261,34.3304972
429,-109.9565612,34.3234635
430,-109.9553746,34.3240762
431,-109.909661,34.315947
432,-109.918843,34.315926
433,-109.936425,34.326666
434,-109.9224,34.326779
435,-109.95683,34.34169
436,-109.955861,34.324763
437,-109.9568428,34.3247797
438,-109.909828,34.309097
439,-109.906578,34.309074
440,-109.909869,34.30507
441,-109.9523684,34.312138
442,-109.943084,34.312079
443,-109.939367,34.312118
444,-109.940291,34.353533
445,-109.939517,34.356579
446,-109.9576593,34.3168453
447,-109.940306,34.34535
448,-109.943137,34.315703
449,-109.918807,34.330401
450,-109.8511777,34.2227923
451,-109.9550039,34.3174009
452,-109.945724,34.3066347
453,-109.9457594,34.3048214
454,-109.9457321,34.3084616
455,-109.936291,34.329842
456,-109.940392,34.342413
457,-109.956993,34.325496
458,-109.956303,34.325519
459,-109.936618,34.319336
460,-109.956523,34.326229
461,-109.957103,34.326252
462,-109.952437,34.265721
463,-109.947984,34.3048378
464,-109.918833,34.3195
465,-109.9502414,34.3084541
466,-109.9567146,34.3241409
467,-109.906411,34.301495
468,-109.906634,34.312071
469,-109.914286,34.31206
470,-109.8487118,34.2751126
471,-109.7607261,34.3302953
472,-109.7411521,34.3375594
473,-109.7520389,34.3437539
474,-109.7273181,34.2612981
475,-109.7260398,34.2698088
476,-109.7120406,34.270775
477,-109.720228,34.2650015
478,-109.726148,34.2701315
479,-109.7179201,34.2600963
480,-109.7179093,34.2628868
481,-109.7243241,34.2637236
482,-109.726426,34.2637264
483,-109.7209621,34.2601135
484,-109.7241335,34.2675231
485,-109.7141514,34.2600543
486,-109.7148614,34.2641363
487,-109.7148601,34.2600591
488,-109.7102285,34.2500276
489,-109.7101809,34.2432934
490,-109.7091818,34.257354
491,-109.7024407,34.2502349
492,-109.7119406,34.2572914
493,-109.7118001,34.265096
494,-109.7102756,34.2519654
495,-109.7238529,34.2618257
496,-109.9384418,34.3085106
497,-109.9578133,34.3223059
498,-109.9572017,34.3434006
499,-109.9560693,34.3419279
500,-109.9579091,34.3444835
501,-109.9566018,34.3450385
502,-109.9576974,34.3179795
503,-109.9579238,34.3478191
504,-109.8321848,34.2811563
505,-109.7367275,34.2575357
506,-109.7395466,34.2645425
507,-109.8164277,34.3485668
508,-109.8220323,34.3486629
509,-109.8219814,34.3569627
510,-109.7555584,34.3549917
511,-109.8319723,34.286276
512,-109.7395297,34.3203357
513,-109.7245841,34.2464752
514,-109.7190865,34.2464629
515,-109.8297858,34.2221656
516,-109.7684843,34.3303917
517,-109.8045212,34.3377551
518,-109.8011099,34.3441221
519,-109.7426522,34.3524609
520,-109.7731643,34.3486089
521,-109.7730982,34.3504436
