node_id,x_coord,y_coord
392,-111.9306079,33.4232582
393,-111.9346514,33.4254248
394,-111.9347083,33.4254777
395,-111.9355468,33.4259131
396,-111.9355153,33.4259946
397,-111.9363872,33.426209
398,-111.9366206,33.4263351
399,-111.9363557,33.4262905
400,-111.9365845,33.4264032
401,-111.9369046,33.4264765
402,-111.9385707,33.4271476
403,-111.9389329,33.427278
404,-111.9388991,33.4273357
405,-111.941149,33.4274456
406,-111.940237,33.4274522
407,-111.9395166,33.4274698
408,-111.9400695,33.4275261
409,-111.9411585,33.4275524
410,-111.9402464,33.427559
411,-111.942647,33.4277383
412,-111.9398814,33.4295827
413,-111.94142,33.430136
414,-111.9427048,33.4314969
415,-111.9433535,33.4309202
416,-111.9410686,33.4298248
417,-111.9417628,33.4305987
418,-111.9430202,33.4302441
419,-111.9430298,33.4306195
420,-111.9410284,33.4296457
421,-111.9412986,33.4298376
422,-111.9430158,33.4309887
423,-111.9412674,33.430179
424,-111.9422659,33.4311076
425,-111.9453632,33.4314408
426,-111.9421556,33.4313259
427,-111.9424679,33.4293072
428,-111.940964,33.4297353
429,-111.9427021,33.4314275
430,-111.9428468,33.4292652
431,-111.9419381,33.4308884
432,-111.9428484,33.4296132
433,-111.9426993,33.431078
434,-111.9432128,33.4303148
435,-111.9418572,33.4312355
436,-111.9417993,33.4305071
437,-111.9428547,33.4307044
438,-111.942376,33.4315403
439,-111.9413717,33.4298696
440,-111.9430187,33.4309173
441,-111.9415488,33.4309149
442,-111.9431044,33.4317029
443,-111.9419532,33.4310422
444,-111.9431917,33.4302098
445,-111.9428288,33.4309188
446,-111.9428694,33.4316836
447,-111.9428607,33.430917
448,-111.9450786,33.4315075
449,-111.9415112,33.4308836
450,-111.942635,33.4310806
451,-111.9411137,33.4299114
452,-111.943241,33.4309221
453,-111.9366063,33.4149395
454,-111.9378309,33.4151315
455,-111.9382228,33.4155489
456,-111.9381093,33.4157325
457,-111.9384635,33.4158739
458,-111.9372954,33.415916
459,-111.9385262,33.4158213
460,-111.9388616,33.4160516
461,-111.9373754,33.4161784
462,-111.938628,33.4161762
463,-111.9370018,33.4162264
464,-111.9370673,33.4162376
465,-111.9373258,33.4163264
466,-111.9393745,33.4163796
467,-111.9392212,33.416529
468,-111.9374238,33.4166808
469,-111.9375193,33.4167578
470,-111.9381102,33.4167851
471,-111.9379041,33.4168421
472,-111.9377894,33.4168413
473,-111.9384276,33.4168667
474,-111.9380869,33.4170888
